ID subject;vignette;Verständnisfrage;Frage 1;Nachfrage 1;Nachfrage 2;Nachfrage 3;Nachfrage 4;Bemerkung;Emotion;Reduction;Modifikator;Negation;Kodierer;Problem
2388;1;einen gruseligen;ängstlich;;;;;;ängstlich;ängstlich;;;E.T.;
2388;2;kaputt;traurig;;;;;;traurig;traurig;;;E.T.;
2388;3;die Schokolade;glücklich;;;;;;glücklich;glücklich;;;E.T.;
2388;4;ist müde;niedergelassen;;;;;;gelassen;Gelassenheit;;;E.T.;
2388;5;im Arm der Mutter;glücklich;;;;;;glücklich;glücklich;;;E.T.;
2388;6;Schimmel;eklig;;;;;;eklig;Ekel;;;E.T.;
2388;7;damit er glücklich ist;glücklich;;;;;;glücklich;glücklich;;;E.T.;
2388;8;weil die Hose offen ist;peinlich;;;;;;peinlich;peinlich;;;E.T.;
2388;9;den Igel;wütend;;;;;;wütend;wütend;;;E.T.;
2388;10;das Legoset;traurig;;;;;;traurig;traurig;;;E.T.;
6426;1;Monsterfilm;ängstlich;;;;;;ängstlich;ängstlich;;;E.T.;
6426;2;wurde von LKW überfahren;traurig;;;;;;traurig;traurig;;;E.T.;
6426;3;Schokolade ;liebes Gesicht ;;;;;;99;99;;;BS;3.0
6426;4;weiß ich nicht;traurig;;;;;;traurig;traurig;;;E.T.;
6426;5;im Schoß von Mutter;schön;;;;;;schön;positiv;;;E.T.;
6426;6;Schimmel;traurig;;;;;;traurig;traurig;;;E.T.;
6426;7;Weihnachtsmann/Geburtstag;lächtelt;;;;;;99;99;;;BS;3.0
6426;8;weil Hose offen war;komisch;;;;;;99;99;;;BS;3.0
6426;9;Igel;traurig;;;;;;traurig;traurig;;;E.T.;
6426;10;LKW;böse;;;;;;böse;negativ;;;E.T.;
6665;1;Monsterfilm;nicht gut;;;;;;nicht gut;negativ;;;BS;2.0
6665;2;unterm LKW gefallen;schlecht;;;;;;schlecht;negativ;;;E.T.;
6665;3;dass Mama Schokolade in Schrank macht;hat Angst;;;;;;Angst;ängstlich;;;E.T.;
6665;4;will nicht spielen;hat bisschen Angst;;;;;;bisschen Angst;ängstlich;bisschen;;E.T.;
6665;5;im Arm der Mutter;gut;;;;;;gut;positiv;;;E.T.;
6665;6;dass da Schimmel ist;traurig;;;;;;traurig;traurig;;;E.T.;
6665;7;denkt das es ein tolles ist;gut;;;;;;gut;positiv;;;E.T.;
6665;8;weil die Hose offen war;schlecht;;;;;;schlecht;negativ;;;E.T.;
6665;9;den Igel;schlecht;;;;;;schlecht;negativ;;;E.T.;
6665;10;ein Spielzeugauto;traurig;;;;;;traurig;traurig;;;E.T.;
3131;1;mit Monster;ängstlich, Angst;;;;;Kind wirkt insgesamt unkonzentriert;ängstlich;ängstlich;;;BS;2.0
3131;2;Teddy ist auf Straße gefallen;traurig;;;;;;traurig;traurig;;;E.T.;
3131;3;Schokolade ;fröhlich;;;;;Verständnis unklar;fröhlich;fröhlich;;;E.T.;
3131;4;krank;traurig;;;;;;traurig;traurig;;;E.T.;
3131;5;im Arm der Mutter;fröhlich;;;;;;fröhlich;fröhlich;;;E.T.;
3131;6;Schimmel;eklig;;;;;;eklig;Ekel;;;E.T.;
3131;7;zum Geburtstag;fröhlich;;;;;;fröhlich;fröhlich;;;E.T.;
3131;8;hat Angst, dass jeder die Unterhose sieht;Angst;;;;;;Angst;ängstlich;;;E.T.;
3131;9;Igel;sauer;;;;;;sauer;sauer;;;E.T.;
3131;10;Puzzle auf Schachtel;sauer;;;;;;sauer;sauer;;;E.T.;
8096;1;gruselig;traurig;;;;;;traurig;traurig;;;BS;2.0
8096;2;Boden gefallen, überfahren;traurig;;;;;;traurig;traurig;;;E.T.;
8096;3;Mama kauft, was sie will;traurig;;;;;;traurig;traurig;;;E.T.;
8096;4;Schläft sie?;traurig;;;;;;traurig;traurig;;;E.T.;
8096;5;in die Mama;froh;;;;;;froh;froh;;;E.T.;
8096;6;Kaka, Schleim;sauer;;;;;;sauer;sauer;;;E.T.;
8096;7;Geburtstag;froh;;;;;;froh;froh;;;E.T.;
8096;8;Kerze an war;traurig;;;;;;traurig;traurig;;;E.T.;
8096;9;Igel;traurig;;;;;;traurig;traurig;;;E.T.;
8096;10;Auto;traurig;;;;;;traurig;traurig;;;E.T.;
2058;1;Monsterfilm;erschrocken;;;;;;erschrocken;erschrocken;;;E.T.;
2058;2;überfahren;traurig;;;;;;traurig;traurig;;;E.T.;
2058;3;? Weiß nicht;weiß nicht;;;;;;99;99;;;BS;3.0
2058;4;weiß nicht;Angst;;;;;;Angst;ängstlich;;;E.T.;
2058;5;Schoß von Mutter;sicher;;;;;;99;99;;;BS;3.0
2058;6;Kerze;weiß nicht;;;;;;99;99;;;BS;3.0
2058;7;Geburtstag;fröhlich;;;;;;fröhlich;fröhlich;;;E.T.;
2058;8;weiß nicht;weiß nicht;;;;;;99;99;;;BS;3.0
2058;9;Igel;traurig;;;;;;traurig;traurig;;;E.T.;
2058;10;Auto;traurig;;;;;;traurig;traurig;;;E.T.;
8034;1;von einem Monster;ängstlich;;;;;;ängstlich;ängstlich;;;E.T.;
8034;2;über die Straße gehen, runtergefallen + überfahren;traurig;;;;;;traurig;traurig;;;E.T.;
8034;3;Tafel Schokolade in Schrank ;hungrig nach Schokolade;;;sieht, Bauch leer;;;99;99;;;BS;3.0
8034;4;spielt seit 2 Tagen nicht mehr;einsam;;;;;;einsam;einsam;;;E.T.;
8034;5;Arm Mutter + kuschelt;gut;;im Arm;nicht so einsam + gut + toll;;;nicht so einsam;;so;nicht;BS;2.0
8034;6;Schimmel ;nicht so gut;;doof gerochen;eklig;;;eklig;Ekel;;;BS;2.0
8034;7;für sich;gut + fröhlich;;;;;;fröhlich;fröhlich;;;BS;2.0
8034;8;Hose offen;peinlich + bisschen fies;;;;peinlich;;peinlich;peinlich;;;E.T.;
8034;9;Igel;schlecht ;;weil Igel nicht fotografiert;doof;;;schlecht;negativ;;;BS;2.0
8034;10;Legomodell auf Kasten;doof;;fand blöd, dass er´s nicht konnte;;;;doof;negativ;;;BS;2.0
7281;1;Monster unter Bett;ängstlich;;;;;;ängstlich;ängstlich;;;E.T.;
7281;2;dreckig;traurig;;;;;;traurig;traurig;;;E.T.;
7281;3;Schokolade & Mama;eifersüchtig;;;;;;eifersüchtig;eifersüchtig;;;E.T.;
7281;4;weiß nicht;erschrocken;;;;;;erschrocken;erschrocken;;;E.T.;
7281;5;in Mamas Arm;glücklich;;;;;;glücklich;glücklich;;;E.T.;
7281;6;Schimmel;angeeckelt;;;;;;angeeckelt;Ekel;;;BS;3.0
7281;7;weiß nicht;super glücklich;;;;;;super glücklich;glücklich;super;;BS;2.0
7281;8;weil sie sich auf iwas draufgesetzt hat;erschrocken & ängstlich;;;;;;erschrocken;erschrocken;;;BS;2.0
7281;9;Igel;wütend;;;;;;wütend;wütend;;;E.T.;
