ID subject;vignette;Verständnisfrage;Frage 1;Nachfrage 1;Nachfrage 2;Nachfrage 3;Nachfrage 4;Bemerkung
2388;1;einen gruseligen;ängstlich;;;;;
2388;2;kaputt;traurig;;;;;
2388;3;die Schokolade;glücklich;;;;;
2388;4;ist müde;niedergelassen;;;;;
2388;5;im Arm der Mutter;glücklich;;;;;
2388;6;Schimmel;eklig;;;;;
2388;7;damit er glücklich ist;glücklich;;;;;
2388;8;weil die Hose offen ist;peinlich;;;;;
2388;9;den Igel;wütend;;;;;
2388;10;das Legoset;traurig;;;;;
6426;1;Monsterfilm;ängstlich;;;;;
6426;2;wurde von LKW überfahren;traurig;;;;;
6426;3;Schokolade ;liebes Gesicht ;;;;;
6426;4;weiß ich nicht;traurig;;;;;
6426;5;im Schoß von Mutter;schön;;;;;
6426;6;Schimmel;traurig;;;;;
6426;7;Weihnachtsmann/Geburtstag;lächtelt;;;;;
6426;8;weil Hose offen war;komisch;;;;;
6426;9;Igel;traurig;;;;;
6426;10;LKW;böse;;;;;
6665;1;Monsterfilm;nicht gut;;;;;
6665;2;unterm LKW gefallen;schlecht;;;;;
6665;3;dass Mama Schokolade in Schrank macht;hat Angst;;;;;
6665;4;will nicht spielen;hat bisschen Angst;;;;;
6665;5;im Arm der Mutter;gut;;;;;
6665;6;dass da Schimmel ist;traurig;;;;;
6665;7;denkt das es ein tolles ist;gut;;;;;
6665;8;weil die Hose offen war;schlecht;;;;;
6665;9;den Igel;schlecht;;;;;
6665;10;ein Spielzeugauto;traurig;;;;;
3131;1;mit Monster;ängstlich, Angst;;;;;Kind wirkt insgesamt unkonzentriert
3131;2;Teddy ist auf Straße gefallen;traurig;;;;;
3131;3;Schokolade ;fröhlich;;;;;Verständnis unklar
3131;4;krank;traurig;;;;;
3131;5;im Arm der Mutter;fröhlich;;;;;
3131;6;Schimmel;eklig;;;;;
3131;7;zum Geburtstag;fröhlich;;;;;
3131;8;hat Angst, dass jeder die Unterhose sieht;Angst;;;;;
3131;9;Igel;sauer;;;;;
3131;10;Puzzle auf Schachtel;sauer;;;;;
8096;1;gruselig;traurig;;;;;
8096;2;Boden gefallen, überfahren;traurig;;;;;
8096;3;Mama kauft, was sie will;traurig;;;;;
8096;4;Schläft sie?;traurig;;;;;
8096;5;in die Mama;froh;;;;;
8096;6;Kaka, Schleim;sauer;;;;;
8096;7;Geburtstag;froh;;;;;
8096;8;Kerze an war;traurig;;;;;
8096;9;Igel;traurig;;;;;
8096;10;Auto;traurig;;;;;
2058;1;Monsterfilm;erschrocken;;;;;
2058;2;überfahren;traurig;;;;;
2058;3;? Weiß nicht;weiß nicht;;;;;
2058;4;weiß nicht;Angst;;;;;
2058;5;Schoß von Mutter;sicher;;;;;
2058;6;Kerze;weiß nicht;;;;;
2058;7;Geburtstag;fröhlich;;;;;
2058;8;weiß nicht;weiß nicht;;;;;
2058;9;Igel;traurig;;;;;
2058;10;Auto;traurig;;;;;
8034;1;von einem Monster;ängstlich;;;;;
8034;2;über die Straße gehen, runtergefallen + überfahren;traurig;;;;;
8034;3;Tafel Schokolade in Schrank ;hungrig nach Schokolade;;;sieht, Bauch leer;;
8034;4;spielt seit 2 Tagen nicht mehr;einsam;;;;;
8034;5;Arm Mutter + kuschelt;gut;;im Arm;nicht so einsam + gut + toll;;
8034;6;Schimmel ;nicht so gut;;doof gerochen;eklig;;
8034;7;für sich;gut + fröhlich;;;;;
8034;8;Hose offen;peinlich + bisschen fies;;;;peinlich;
8034;9;Igel;schlecht ;;weil Igel nicht fotografiert;doof;;
8034;10;Legomodell auf Kasten;doof;;fand blöd, dass er´s nicht konnte;;;
7281;1;Monster unter Bett;ängstlich;;;;;
7281;2;dreckig;traurig;;;;;
7281;3;Schokolade & Mama;eifersüchtig;;;;;
7281;4;weiß nicht;erschrocken;;;;;
7281;5;in Mamas Arm;glücklich;;;;;
7281;6;Schimmel;angeeckelt;;;;;
7281;7;weiß nicht;super glücklich;;;;;
7281;8;weil sie sich auf iwas draufgesetzt hat;erschrocken & ängstlich;;;;;
7281;9;Igel;wütend;;;;;
7281;10;Auto;wütend;;;;;
7118;1;Hochwassernachrichten, die finde ich gruselig;ängstlich;;;;;
7118;2;durchgefahren;traurig;;;;;
7118;3;Mama räumt Schokolade oben in den Schrank;traurig;;;;;
7118;4;macht ein schläfchen;besorgt;;;;;
7118;5;in Mutters Armen;sicher, geborgen;;;;;
7118;6;Schimmel;traurig;;;;;
7118;7;für seinen Geburtstag;freut sich;;;;;
7118;8;weil es ihm peinlich ist;peinlich;;;;;
7118;9;Igel;wütend;;;;;
7118;10;Auto;wütend;;;;;
1273;1;Monsterfilm;er hat Angst;;;;;
1273;2;er ist kaputt;er ist traurig;;;;;
1273;3;Schokolade;er fühlt sich fröhlich;;;;;
1273;4;sie spielt nicht mehr;hat Angst, dass sie krank ist;;;;;
1273;5;auf den Armen seiner Mutter;er ist fröhlich;;;;;
1273;6;er ist verschimmelt;nicht schön;;er wollte es essen;;;
1273;7;zum Geburtstag;schön;;fröhlich;;;
1273;8;weil seine Hose offen ist;die anderen lachen über ihn;;bisschen traurig;;;
1273;9;den Igel;sauer;;;;;
1273;10;Lego;nicht schön;;nicht schön;;;
7674;1;Monsterfilm;er hat Angst;;;;;
7674;2;auf der Straße verloren + Auto ist drüber gefahren;traurig;;;;;
7674;3;Schokolade;traurig;;;;;
7674;4;will nicht mehr spielen;traurig;;;;;
7674;5;im Arm seiner Mama;glücklich;;;;;
7674;6;Fleck Schimmel ;traurig;;;;;
7674;7;weil sein Geburtstag ist;glücklich;;;;;
7674;8;weil seine Hose offen ist;ich weiß es nicht;;;;;
7674;9;ein Igel;traurig;;;;;
7674;10;Legomodell auf dem Kasten;traurig;;;;;
3240;1;Monsterfilm;ängstlich;;;;;
3240;2;kaputt;traurig;;;;;
3240;3;Mama Schokolade ins Regal räumen;-;;;;;
3240;4;will nicht mehr spielen;traurig;;;;;
3240;5;im Arm der Mutter;fröhlich;;;;;
3240;6;Schimmel;ekelt sich;;;;;
3240;7;Geburtstag;fröhlich;;;;;
3240;8;Hose offen;-;;;;;
3240;9;Igel;sauer;;;;;
3240;10;Legoauto;sauer;;;;;
984;1;Gruselfilm;Angst;;;;;Kind unmotiviert
984;2;kaputtgegangen;traurig;;;;;
984;3;Schokoladentafel;schlau;;nein;gut;;
984;4;will nicht spielen;traurig;;;;;
984;5;im Arm seiner Mutter;geschätzt;;;;;
984;6;Schimmel ;nicht so gut;;nein;;;
984;7;Geburtstag;gut, weil findet es schön fröhlich;;;;;
984;8;denkt, andere habens gesehen;peinlich;;;;;
984;9;Igel;nicht so gut;;nicht so richtig;;;
984;10;ein Legoauto auf dem Karton ;nicht so gut, weil er immer wieder scheitert, das nervt;;;;;
5679;1;Monsterfilm;Angst;;;;;
