word,reduction
angewidert,angewidert
Angst,ängstlich
ängstlich,ängstlich
beängstigt,ängstlich
verängstigt,ängstlich
angstvoll,ängstlich
angsteinflössend,ängstlich
ärgerlich,Ärger
ärgertsich,Ärger
ärgerlich,Ärger
Verägerung,Ärger
verärgert,Ärger
aufgeregt,aufgeregt
aufgewühlt,aufgewühlt
bedauern,Bedauern
bedrückt,bedrückt
begehren,Begehren
begeistert,Begeisterung
Begeisterung,Begeisterung
gierig,begierig
Begierde,begierig
Gier,begierig
Giersucht,begierig
beruhigt,Beruhigung
besorgt,besorgt
Besorgnis,besorgt
sichsorgend,besorgt
Sorge,besorgt
Sorgen,besorgt
sorgenvoll,besorgt
bestürzt,bestürzt
bewundert,Bewunderung
Bewunderung,Bewunderung
Dankbarkeit,dankbar
deprimiert,deprimiert
eifersüchtig,eifersüchtig
einsam,einsam
Einsamkeit,einsam
vereinsamt,einsam
angeekelt,Ekel
ekelhaft,Ekel
ekelig,Ekel
Ekel,Ekel
ekeltsich,Ekel
geekelt,Ekel
verekelt,Ekel
entsetzt,entsetzt
entspannt,entspannt
enttäuscht,enttäuscht
enttäuschend,enttäuscht
Enttäuschung,enttäuscht
erleichtert,Erleichterung
erschreckt,erschrocken
erschrocken,erschrocken
erschrecktsich,erschrocken
verschreckt,erschrocken
Schreck,erschrocken
erstaunt,Erstaunen
euphorisch,euphorisch
Faszination,Faszination
freudig,Freude
erfreut,Freude
Freude,Freude
freutsich,Freude
gefreut,Freude
sichfreuen,Freude
froh,froh
fröhlich,fröhlich
Fröhlichkeit,fröhlich
frustriert,frustriert
Frust,frustriert
Furcht,Furcht
geborgen,geborgen
Geborgenheit,geborgen
genervt,genervt
gereizt,gereizt
glücklich,glücklich
glück,glücklich
Glückseligkeit,glücklich
gruselig,Grusel
gruseltsich,Grusel
Hoffnung,Hoffnung
interessiert,interessiert
Interesse,interessiert
Kummer,Kummer
langweilig,langweilig
gelangweilt,langweilig
Liebe,Liebe
verliebt,Liebe
lustvoll,Lust
lostlos,lustlos
Lustlosigkeit,lustlos
keineLust,lustlos
Mitleid,Mitleid
leidtun,Mitleid
blöd,negativ
böse,negativ
doof,negativ
fürchterlich,negativ
nicht fröhlich,negativ
nicht glücklich,negativ
nicht gut,negativ
nicht lieb,negativ
nicht lustig,negativ
nicht schön,negativ
nicht toll,negativ
nich twohl,negativ
schlecht,negativ
schrecklich,negativ
unangenehm,negativ
unfröhlich,negativ
ungut,negativ
unwohl,negativ
neidisch,neidisch
Neid,neidisch
nervös,nervös
neugierig,neugierig
niedergeschlagen,Niedergeschlagenheit
nostalgisch,Nostalgie
peinlich,peinlich
Peinlichkeit,peinlich
angenehm,positiv
doll,positiv
freundlich,positiv
großartig,positiv
großartig,positiv
gut,positiv
gutesGefühl,positiv
lieb,positiv
lustig,positiv
nichtschlecht,positiv
schön,positiv
sorglos,positiv
super,positiv
toll,positiv
wohl,positiv
wohlig,positiv
bereut,Reue
bereuend,Reue
Reue,Reue
reuig,Reue
reuevoll,Reue
sauer,sauer
beschämt,Scham
schämen,Scham
schämtsich,Scham
verschämt,Scham
Scham,Scham
geschockt,Schock
schuldig,schuldig
Schuld,schuldig
Schuldgefühl,schuldig
schuldbewusst,schuldig
schuldhaft,schuldig
sehnsüchtig,Sehnsucht
Sehnsucht,Sehnsucht
stolz,stolz
Stolz,stolz
traurig,traurig
Traurigkeit,traurig
Trauer,traurig
überrascht,Überraschung
Überraschung,Überraschung
unglücklich,unglücklich
unzufrieden,unzufrieden
Unzfriedenheit,unzufrieden
Verlangen,Verlangen
verlegen,verlegen
Verlegenheit,verlegen
verzweifelt,verzweifelt
Verzweifelung,verzweifelt
Vorfreude,Vorfreude
wehmütig,Wehmut
Wehmut,Wehmut
wütend,wütend
Wut,wütend
zufrieden,zufrieden
Zufriedenheit,zufrieden
Zorn,Zorn
zornig,Zorn
erzürnt,Zorn
eklig,Ekel
